,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,tanh,75,5,0.9220778942108154,0.06398444835628782,1.0
1,tanh,75,10,0.9610389471054077,0.055840989719931185,1.0
2,tanh,75,50,0.9350649118423462,0.08371713984902802,0.9866666793823242
3,tanh,75,100,0.9220778942108154,0.07650958216906369,0.9866666793823242
4,tanh,75,500,0.9610389471054077,0.05981400925907996,0.9866666793823242
5,tanh,75,1000,0.9220778942108154,0.09688579600739788,0.9866666793823242
6,tanh,150,5,0.9350649118423462,0.051838817570793935,0.9866666793823242
7,tanh,150,10,0.9740259647369385,0.025892990302633156,1.0
8,tanh,150,50,0.9740259647369385,0.036959847145072826,0.9933333396911621
9,tanh,150,100,0.9610389471054077,0.05118271021486877,0.9933333396911621
10,tanh,150,500,0.9610389471054077,0.05945894881695896,0.9933333396911621
11,tanh,150,1000,0.948051929473877,0.06336558566658528,0.9933333396911621
12,tanh,250,5,0.9740259647369385,0.03446642524871201,0.9919999837875366
13,tanh,250,10,0.9740259647369385,0.022185523703984626,1.0
14,tanh,250,50,0.9740259647369385,0.02460769031729017,0.9919999837875366
15,tanh,250,100,0.9870129823684692,0.03417836202235965,0.9919999837875366
16,tanh,250,500,0.9870129823684692,0.04390538406449479,0.9919999837875366
17,tanh,250,1000,1.0,0.0395573347129605,0.9919999837875366
18,tanh,436,5,0.9350649118423462,0.031201647727617195,1.0
19,tanh,436,10,1.0,0.015195645930172948,0.9954128265380859
20,tanh,436,50,1.0,0.014528344095043548,1.0
21,tanh,436,100,1.0,0.014720328926266013,0.997706413269043
22,tanh,436,500,0.9870129823684692,0.024174271659417587,1.0
23,tanh,436,1000,1.0,0.017780288074213963,1.0
24,relu,75,5,0.9610389471054077,0.06210615597181506,1.0
25,relu,75,10,0.948051929473877,0.08431511875483896,1.0
26,relu,75,50,0.948051929473877,0.06179310761198595,1.0
27,relu,75,100,0.9220778942108154,0.058956029474154695,1.0
28,relu,75,500,0.9610389471054077,0.05649080216981374,1.0
29,relu,75,1000,0.9610389471054077,0.05587343503902485,1.0
30,relu,150,5,0.9220778942108154,0.047710980188899806,0.9866666793823242
31,relu,150,10,0.9870129823684692,0.02403825462203134,0.9933333396911621
32,relu,150,50,0.9740259647369385,0.040639445814606434,1.0
33,relu,150,100,0.9870129823684692,0.03286429574447019,1.0
34,relu,150,500,0.9870129823684692,0.027675723802153166,1.0
35,relu,150,1000,0.9870129823684692,0.03226466012465489,0.9933333396911621
36,relu,250,5,0.9740259647369385,0.03064368139081574,0.9959999918937683
37,relu,250,10,0.9740259647369385,0.029795982741883824,1.0
38,relu,250,50,0.9870129823684692,0.034049950697302045,1.0
39,relu,250,100,0.9870129823684692,0.0267011717373094,0.9959999918937683
40,relu,250,500,0.9870129823684692,0.025943234308876774,0.9919999837875366
41,relu,250,1000,1.0,0.017821499648467673,1.0
42,relu,436,5,0.9740259647369385,0.014344068293991898,0.997706413269043
43,relu,436,10,0.9610389471054077,0.02433203335839336,0.997706413269043
44,relu,436,50,1.0,0.019367767050378508,0.997706413269043
45,relu,436,100,1.0,0.019304209013844466,0.997706413269043
46,relu,436,500,1.0,0.013282992556546028,1.0
47,relu,436,1000,1.0,0.011360894386692867,1.0
