,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,tanh,75,5,0.649350643157959,0.26918848487850905,1.0
1,tanh,75,10,0.6753246784210205,0.29371447435447146,1.0
2,tanh,75,50,0.7532467246055603,0.15783518523751916,1.0
3,tanh,75,100,0.7532467246055603,0.19450993710137032,0.9866666793823242
4,tanh,75,500,0.701298713684082,0.2017523270922822,1.0
5,tanh,75,1000,0.7272727489471436,0.17668912279141413,0.9866666793823242
6,tanh,150,5,0.8571428656578064,0.09659489428068137,0.9866666793823242
7,tanh,150,10,0.948051929473877,0.06837330158654746,1.0
8,tanh,150,50,0.9610389471054077,0.06842868194564597,1.0
9,tanh,150,100,0.948051929473877,0.05775176409583587,1.0
10,tanh,150,500,0.9610389471054077,0.04864708271313023,0.9933333396911621
11,tanh,150,1000,0.9740259647369385,0.039048010023770396,0.9866666793823242
12,tanh,250,5,0.8831169009208679,0.10863509774208069,0.9919999837875366
13,tanh,250,10,0.9090909361839294,0.0973690292471415,1.0
14,tanh,250,50,0.948051929473877,0.06914029439741914,1.0
15,tanh,250,100,0.9350649118423462,0.06006054285091239,1.0
16,tanh,250,500,0.9610389471054077,0.053283630543714995,1.0
17,tanh,250,1000,0.9090909361839294,0.0819602312592717,1.0
18,tanh,436,5,0.8831169009208679,0.10555126411574227,0.9885321259498596
19,tanh,436,10,0.8831169009208679,0.07842450811491385,1.0
20,tanh,436,50,0.9740259647369385,0.04472740867792012,0.997706413269043
21,tanh,436,100,0.9740259647369385,0.04206367586920788,1.0
22,tanh,436,500,0.948051929473877,0.06419922232434347,0.997706413269043
23,tanh,436,1000,0.948051929473877,0.059364568200204276,1.0
24,relu,75,5,0.7792207598686218,0.18260984616233156,1.0
25,relu,75,10,0.8051947951316833,0.17519313948495047,1.0
26,relu,75,50,0.8831169009208679,0.14786475185643544,1.0
27,relu,75,100,0.8831169009208679,0.11264839124950496,1.0
28,relu,75,500,0.8571428656578064,0.12916040444722424,1.0
29,relu,75,1000,0.8571428656578064,0.15513106493593812,1.0
30,relu,150,5,0.8051947951316833,0.1721575078252074,0.9800000190734863
31,relu,150,10,0.8701298832893372,0.11830653288921752,1.0
32,relu,150,50,0.948051929473877,0.0898851320728079,1.0
33,relu,150,100,0.9220778942108154,0.10325615045118641,1.0
34,relu,150,500,0.9350649118423462,0.07762857802308999,1.0
35,relu,150,1000,0.9220778942108154,0.09063469768538103,1.0
36,relu,250,5,0.8701298832893372,0.10466863224645714,0.9800000190734863
37,relu,250,10,0.8831169009208679,0.09825827616762806,0.9959999918937683
38,relu,250,50,0.9090909361839294,0.07834684916517952,1.0
39,relu,250,100,0.9350649118423462,0.06023037053838179,1.0
40,relu,250,500,0.9350649118423462,0.06001288303500646,1.0
41,relu,250,1000,0.9610389471054077,0.055953262373805046,1.0
42,relu,436,5,0.8961039185523987,0.12434931626761114,0.9862385392189026
43,relu,436,10,0.9350649118423462,0.05081522106737286,0.997706413269043
44,relu,436,50,0.948051929473877,0.05944301700824267,1.0
45,relu,436,100,0.9610389471054077,0.05516086063988797,1.0
46,relu,436,500,0.948051929473877,0.04419277157247454,1.0
47,relu,436,1000,0.9610389471054077,0.04037860155637775,1.0
