,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,tanh,75,5,0.8051947951316833,0.15130207581179483,0.9599999785423279
1,tanh,75,10,0.948051929473877,0.06717243766436329,0.9866666793823242
2,tanh,75,50,0.9090909361839294,0.10621644324296481,0.9866666793823242
3,tanh,75,100,0.9610389471054077,0.0698171237652952,0.9866666793823242
4,tanh,75,500,0.9220778942108154,0.09888895601034164,0.9866666793823242
5,tanh,75,1000,0.8571428656578064,0.16259340525834592,0.9866666793823242
6,tanh,150,5,0.9220778942108154,0.08114670217037201,0.9733333587646484
7,tanh,150,10,0.9610389471054077,0.042365559630773285,0.9933333396911621
8,tanh,150,50,0.9610389471054077,0.06445736075183015,0.9933333396911621
9,tanh,150,100,0.9350649118423462,0.06981864731226649,0.9866666793823242
10,tanh,150,500,0.9220778942108154,0.1132546617081026,0.9800000190734863
11,tanh,150,1000,0.9350649118423462,0.07392807420972106,0.9866666793823242
12,tanh,250,5,0.948051929473877,0.05274295385975342,0.9879999756813049
13,tanh,250,10,0.9740259647369385,0.023094146524543887,0.9919999837875366
14,tanh,250,50,0.9740259647369385,0.025983946651897648,0.9919999837875366
15,tanh,250,100,0.9610389471054077,0.030915025210419257,0.9919999837875366
16,tanh,250,500,1.0,0.02813478576188738,0.9879999756813049
17,tanh,250,1000,0.9870129823684692,0.025506626125183198,0.9959999918937683
18,tanh,436,5,0.9740259647369385,0.028346696360544724,0.9862385392189026
19,tanh,436,10,0.9610389471054077,0.021522087710244314,0.997706413269043
20,tanh,436,50,0.9740259647369385,0.025922231509217193,0.997706413269043
21,tanh,436,100,0.9870129823684692,0.02217463239446863,0.997706413269043
22,tanh,436,500,0.9870129823684692,0.034331955209180906,0.997706413269043
23,tanh,436,1000,0.9740259647369385,0.02071413321589882,1.0
24,relu,75,5,0.8701298832893372,0.13145587632021347,1.0
25,relu,75,10,0.8961039185523987,0.16477948369143844,0.9866666793823242
26,relu,75,50,0.9220778942108154,0.12283635042704545,1.0
27,relu,75,100,0.8961039185523987,0.15220766591948348,0.9866666793823242
28,relu,75,500,0.9090909361839294,0.1199673433582504,1.0
29,relu,75,1000,0.9090909361839294,0.09607958058258156,1.0
30,relu,150,5,0.9350649118423462,0.05467684073494626,0.9866666793823242
31,relu,150,10,0.9220778942108154,0.07124304045717438,1.0
32,relu,150,50,0.8961039185523987,0.0874301138055789,1.0
33,relu,150,100,0.948051929473877,0.06047243237882465,0.9800000190734863
34,relu,150,500,0.9610389471054077,0.043616878376765686,1.0
35,relu,150,1000,0.9350649118423462,0.054029115415238714,0.9866666793823242
36,relu,250,5,0.9220778942108154,0.072235691203893,0.9879999756813049
37,relu,250,10,0.9740259647369385,0.031336399400002,1.0
38,relu,250,50,1.0,0.027281060439909435,0.9959999918937683
39,relu,250,100,0.9870129823684692,0.029258402282154407,1.0
40,relu,250,500,0.9870129823684692,0.02985897044614925,0.9959999918937683
41,relu,250,1000,0.9870129823684692,0.03493378923407623,0.9959999918937683
42,relu,436,5,0.948051929473877,0.03229290123971469,0.997706413269043
43,relu,436,10,0.9610389471054077,0.02438138611614704,0.997706413269043
44,relu,436,50,0.9870129823684692,0.02507165116681294,1.0
45,relu,436,100,0.9870129823684692,0.017539213084942336,0.997706413269043
46,relu,436,500,0.9870129823684692,0.019605255576890784,0.997706413269043
47,relu,436,1000,0.9870129823684692,0.015742327255958862,0.997706413269043
