,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,tanh,75,5,0.8701298832893372,0.07550426664484011,1.0
1,tanh,75,10,0.8831169009208679,0.10746959916182927,1.0
2,tanh,75,50,0.8701298832893372,0.13914638177140967,1.0
3,tanh,75,100,0.9090909361839294,0.11895017848386392,1.0
4,tanh,75,500,0.9350649118423462,0.12907796691764484,1.0
5,tanh,75,1000,0.9220778942108154,0.12692718691640087,1.0
6,tanh,150,5,0.9610389471054077,0.03830526169244345,1.0
7,tanh,150,10,0.948051929473877,0.06380984574169307,1.0
8,tanh,150,50,0.9220778942108154,0.0957213281230493,1.0
9,tanh,150,100,0.9220778942108154,0.09061450637006141,1.0
10,tanh,150,500,0.9350649118423462,0.0796748318455436,0.9933333396911621
11,tanh,150,1000,0.948051929473877,0.07165929994412831,1.0
12,tanh,250,5,0.9740259647369385,0.022744255890319875,1.0
13,tanh,250,10,0.948051929473877,0.033658279493064075,1.0
14,tanh,250,50,0.9610389471054077,0.050615972996532144,1.0
15,tanh,250,100,0.9740259647369385,0.03706511746269542,1.0
16,tanh,250,500,0.9610389471054077,0.0335926062778219,0.9959999918937683
17,tanh,250,1000,0.9740259647369385,0.040964836375666905,0.9919999837875366
18,tanh,436,5,0.9610389471054077,0.024637967432764443,1.0
19,tanh,436,10,0.9610389471054077,0.02476116335745175,1.0
20,tanh,436,50,0.9740259647369385,0.02799490817471758,0.9954128265380859
21,tanh,436,100,0.9740259647369385,0.023375263582769926,0.997706413269043
22,tanh,436,500,0.9610389471054077,0.037383971082699766,0.997706413269043
23,tanh,436,1000,0.9740259647369385,0.029911328542542148,0.9954128265380859
24,relu,75,5,0.8571428656578064,0.09100110819200416,1.0
25,relu,75,10,0.8051947951316833,0.18775408308614383,1.0
26,relu,75,50,0.9350649118423462,0.09903483712053918,1.0
27,relu,75,100,0.8311688303947449,0.11891953995475521,1.0
28,relu,75,500,0.8571428656578064,0.14400262395282845,1.0
29,relu,75,1000,0.8961039185523987,0.16471560976722024,1.0
30,relu,150,5,0.9350649118423462,0.08106284187018097,1.0
31,relu,150,10,0.9090909361839294,0.0905529943766532,1.0
32,relu,150,50,0.9090909361839294,0.10818694444832863,1.0
33,relu,150,100,0.9350649118423462,0.08838250289683218,1.0
34,relu,150,500,0.948051929473877,0.06539435890297611,1.0
35,relu,150,1000,0.9610389471054077,0.0508096001848772,1.0
36,relu,250,5,0.8961039185523987,0.05014678684680106,1.0
37,relu,250,10,0.948051929473877,0.05516306683421135,0.9959999918937683
38,relu,250,50,0.9610389471054077,0.06180294704708186,1.0
39,relu,250,100,0.948051929473877,0.07126878076172494,1.0
40,relu,250,500,0.948051929473877,0.04404957452184194,1.0
41,relu,250,1000,0.9350649118423462,0.04367192720921783,0.9919999837875366
42,relu,436,5,0.9740259647369385,0.0184894890899395,0.997706413269043
43,relu,436,10,0.9350649118423462,0.04137926461634698,0.9954128265380859
44,relu,436,50,0.9610389471054077,0.053935363937120936,0.997706413269043
45,relu,436,100,0.9610389471054077,0.04553694345734336,1.0
46,relu,436,500,0.9870129823684692,0.03235704127650756,0.997706413269043
47,relu,436,1000,0.9870129823684692,0.024348388389720546,1.0
