,Unnamed: 0,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,0,tanh,75,5,0.9220778942108154,0.0639844483562878,1.0
1,1,tanh,75,10,0.9610389471054076,0.0558409897199311,1.0
2,2,tanh,75,50,0.9350649118423462,0.083717139849028,0.9866666793823242
3,3,tanh,75,100,0.9220778942108154,0.0765095821690636,0.9866666793823242
4,4,tanh,75,500,0.9610389471054076,0.0598140092590799,0.9866666793823242
5,5,tanh,75,1000,0.9220778942108154,0.0968857960073978,0.9866666793823242
6,6,tanh,150,5,0.9350649118423462,0.0518388175707939,0.9866666793823242
7,7,tanh,150,10,0.9740259647369384,0.0258929903026331,1.0
8,8,tanh,150,50,0.9740259647369384,0.0369598471450728,0.993333339691162
9,9,tanh,150,100,0.9610389471054076,0.0511827102148687,0.993333339691162
10,10,tanh,150,500,0.9610389471054076,0.0594589488169589,0.993333339691162
11,11,tanh,150,1000,0.948051929473877,0.0633655856665852,0.993333339691162
12,12,tanh,250,5,0.9740259647369384,0.034466425248712,0.9919999837875366
13,13,tanh,250,10,0.9740259647369384,0.0221855237039846,1.0
14,14,tanh,250,50,0.9740259647369384,0.0246076903172901,0.9919999837875366
15,15,tanh,250,100,0.9870129823684692,0.0341783620223596,0.9919999837875366
16,16,tanh,250,500,0.9870129823684692,0.0439053840644947,0.9919999837875366
17,17,tanh,250,1000,1.0,0.0395573347129605,0.9919999837875366
18,18,tanh,436,5,0.9350649118423462,0.0312016477276171,1.0
19,19,tanh,436,10,1.0,0.0151956459301729,0.995412826538086
20,20,tanh,436,50,1.0,0.0145283440950435,1.0
21,21,tanh,436,100,1.0,0.014720328926266,0.997706413269043
22,22,tanh,436,500,0.9870129823684692,0.0241742716594175,1.0
23,23,tanh,436,1000,1.0,0.0177802880742139,1.0
24,24,relu,75,5,0.9610389471054076,0.062106155971815,1.0
25,25,relu,75,10,0.948051929473877,0.0843151187548389,1.0
26,26,relu,75,50,0.948051929473877,0.0617931076119859,1.0
27,27,relu,75,100,0.9220778942108154,0.0589560294741546,1.0
28,28,relu,75,500,0.9610389471054076,0.0564908021698137,1.0
29,29,relu,75,1000,0.9610389471054076,0.0558734350390248,1.0
30,30,relu,150,5,0.9220778942108154,0.0477109801888998,0.9866666793823242
31,31,relu,150,10,0.9870129823684692,0.0240382546220313,0.993333339691162
32,32,relu,150,50,0.9740259647369384,0.0406394458146064,1.0
33,33,relu,150,100,0.9870129823684692,0.0328642957444701,1.0
34,34,relu,150,500,0.9870129823684692,0.0276757238021531,1.0
35,35,relu,150,1000,0.9870129823684692,0.0322646601246548,0.993333339691162
36,36,relu,250,5,0.9740259647369384,0.0306436813908157,0.9959999918937684
37,37,relu,250,10,0.9740259647369384,0.0297959827418838,1.0
38,38,relu,250,50,0.9870129823684692,0.034049950697302,1.0
39,39,relu,250,100,0.9870129823684692,0.0267011717373094,0.9959999918937684
40,40,relu,250,500,0.9870129823684692,0.0259432343088767,0.9919999837875366
41,41,relu,250,1000,1.0,0.0178214996484676,1.0
42,42,relu,436,5,0.9740259647369384,0.0143440682939918,0.997706413269043
43,43,relu,436,10,0.9610389471054076,0.0243320333583933,0.997706413269043
44,44,relu,436,50,1.0,0.0193677670503785,0.997706413269043
45,45,relu,436,100,1.0,0.0193042090138444,0.997706413269043
46,46,relu,436,500,1.0,0.013282992556546,1.0
47,47,relu,436,1000,1.0,0.0113608943866928,1.0
