,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,tanh,20,5,0.36399999260902405,0.10377057600021362,0.8500000238418579
1,tanh,20,10,0.2980000078678131,0.11771229720115661,1.0
2,tanh,20,50,0.4519999921321869,0.11000072395801544,1.0
3,tanh,20,100,0.3630000054836273,0.1513135862350464,1.0
4,tanh,20,500,0.41999998688697815,0.12538427472114563,1.0
5,tanh,20,1000,0.28999999165534973,0.4076429901123047,0.8500000238418579
6,tanh,100,5,0.4699999988079071,0.08947284758090973,0.8100000023841858
7,tanh,100,10,0.5370000004768372,0.08376881593465806,1.0
8,tanh,100,50,0.6200000047683716,0.07504347062110901,1.0
9,tanh,100,100,0.6060000061988831,0.07715933078527451,1.0
10,tanh,100,500,0.4749999940395355,0.10824793148040772,0.9800000190734863
11,tanh,100,1000,0.550000011920929,0.0926839674115181,1.0
12,tanh,250,5,0.503000020980835,0.07547802665829659,0.7639999985694885
13,tanh,250,10,0.652999997138977,0.07013405838608741,1.0
14,tanh,250,50,0.6880000233650208,0.06031854510307312,1.0
15,tanh,250,100,0.7049999833106995,0.05900336474180221,1.0
16,tanh,250,500,0.6549999713897705,0.07215026384592056,1.0
17,tanh,250,1000,0.652999997138977,0.07561277753114701,1.0
18,tanh,500,5,0.5009999871253967,0.07094196510314942,0.6539999842643738
19,tanh,500,10,0.7319999933242798,0.050878333270549775,1.0
20,tanh,500,50,0.8100000023841858,0.04277918371558189,1.0
21,tanh,500,100,0.8059999942779541,0.04434148621559143,1.0
22,tanh,500,500,0.7509999871253967,0.05655251443386078,1.0
23,tanh,500,1000,0.7319999933242798,0.06134106102585792,1.0
24,tanh,1000,5,0.5529999732971191,0.06191626518964768,0.7260000109672546
25,tanh,1000,10,0.7870000004768372,0.03617326802015305,0.9980000257492065
26,tanh,1000,50,0.8539999723434448,0.031776069223880765,0.9980000257492065
27,tanh,1000,100,0.8759999871253967,0.029526935398578643,1.0
28,tanh,1000,500,0.8619999885559082,0.03440612009167671,1.0
29,tanh,1000,1000,0.8669999837875366,0.03633063730597496,1.0
30,relu,20,5,0.30300000309944153,0.0933193895816803,0.699999988079071
31,relu,20,10,0.296999990940094,0.10761228704452515,1.0
32,relu,20,50,0.38600000739097595,0.08655472815036774,1.0
33,relu,20,100,0.3409999907016754,0.0868234738111496,1.0
34,relu,20,500,0.35899999737739563,0.08625888764858246,1.0
35,relu,20,1000,0.3720000088214874,0.10544207698106765,0.8500000238418579
36,relu,100,5,0.36399999260902405,0.08822650450468063,0.8799999952316284
37,relu,100,10,0.4480000138282776,0.0875460854768753,0.9200000166893005
38,relu,100,50,0.5490000247955322,0.0670049847960472,1.0
39,relu,100,100,0.6079999804496765,0.06153002595901489,1.0
40,relu,100,500,0.6520000100135803,0.0562330963909626,1.0
41,relu,100,1000,0.6439999938011169,0.05492009222507477,1.0
42,relu,250,5,0.335999995470047,0.08358715403079986,0.5320000052452087
43,relu,250,10,0.5009999871253967,0.10165386843681336,0.972000002861023
44,relu,250,50,0.703000009059906,0.04991973659396171,1.0
45,relu,250,100,0.7279999852180481,0.04759778618812561,1.0
46,relu,250,500,0.7720000147819519,0.03992483657598495,1.0
47,relu,250,1000,0.7820000052452087,0.03851055172085762,1.0
48,relu,500,5,0.210999995470047,0.08336137175559998,0.2280000001192093
49,relu,500,10,0.5870000123977661,0.07022420954704285,0.9919999837875366
50,relu,500,50,0.8289999961853027,0.03326466009020805,1.0
51,relu,500,100,0.8209999799728394,0.03690359207987785,1.0
52,relu,500,500,0.8709999918937683,0.02869088464975357,1.0
53,relu,500,1000,0.8659999966621399,0.02663850425183773,1.0
54,relu,1000,5,0.4830000102519989,0.07252035039663315,0.6129999756813049
55,relu,1000,10,0.6850000023841858,0.05607095628976822,0.9909999966621399
56,relu,1000,50,0.8669999837875366,0.026166807055473328,1.0
57,relu,1000,100,0.8859999775886536,0.02478637346625328,1.0
58,relu,1000,500,0.8980000019073486,0.022430676661431788,1.0
59,relu,1000,1000,0.8949999809265137,0.021176776833832265,1.0
